largest exponential line index : 709
largest exponential value : 6919995.55

line	value
1		6919865.23
2		6919869.73
3		6919897.46
4		6919884.84
5		6919952.81
6		6919965.16
7		6919911.13
8		6919976.73
9		6919893.46
10		6919972.65
11		6919971.65
12		6919874.61
13		6919911.83
14		6919959.23
15		6919865.87
16		6919898.48
17		6919918.23
18		6919943.74
19		6919869.85
20		6919975.92
21		6919989.46
22		6919944.50
23		6919874.45
24		6919942.11
25		6919938.12
26		6919956.00
27		6919899.17
28		6919883.80
29		6919907.01
30		6919976.39
31		6919974.68
32		6919929.52
33		6919947.84
34		6919987.63
35		6919872.36
36		6919952.87
37		6919972.66
38		6919929.54
39		6919894.78
40		6919862.66
41		6919975.84
42		6919897.77
43		6919912.15
44		6919935.97
45		6919960.96
46		6919934.53
47		6919873.74
48		6919882.90
49		6919883.63
50		6919979.18
51		6919915.84
52		6919883.57
53		6919887.03
54		6919921.37
55		6919969.51
56		6919916.74
57		6919855.81
58		6919913.42
59		6919932.18
60		6919964.93
61		6919949.17
62		6919951.58
63		6919982.17
64		6919920.45
65		6919943.16
66		6919912.74
67		6919908.55
68		6919920.86
69		6919937.20
70		6919902.00
71		6919878.25
72		6919890.60
73		6919919.00
74		6919859.73
75		6919948.13
76		6919887.36
77		6919905.23
78		6919886.01
79		6919922.10
80		6919980.60
81		6919973.16
82		6919909.52
83		6919958.70
84		6919872.05
85		6919945.93
86		6919982.20
87		6919894.15
88		6919958.45
89		6919966.87
90		6919867.67
91		6919862.03
92		6919990.37
93		6919921.94
94		6919864.23
95		6919971.12
96		6919974.75
97		6919897.75
98		6919947.79
99		6919884.45
100		6919932.07
101		6919862.54
102		6919905.60
103		6919899.58
104		6919955.52
105		6919962.32
106		6919916.10
107		6919962.61
108		6919956.90
109		6919962.90
110		6919991.68
111		6919910.49
112		6919952.99
113		6919958.26
114		6919910.93
115		6919904.84
116		6919881.50
117		6919921.75
118		6919898.22
119		6919912.36
120		6919898.99
121		6919882.20
122		6919874.63
123		6919873.30
124		6919867.83
125		6919870.83
126		6919980.24
127		6919868.74
128		6919982.96
129		6919973.77
130		6919885.63
131		6919954.40
132		6919901.15
133		6919935.49
134		6919971.15
135		6919984.67
136		6919964.85
137		6919907.55
138		6919953.54
139		6919876.85
140		6919868.47
141		6919954.28
142		6919987.95
143		6919866.55
144		6919976.20
145		6919895.40
146		6919865.83
147		6919916.59
148		6919925.38
149		6919862.75
150		6919956.74
151		6919960.14
152		6919966.25
153		6919913.31
154		6919930.14
155		6919986.09
156		6919885.37
157		6919933.53
158		6919974.21
159		6919950.00
160		6919877.73
161		6919938.79
162		6919980.84
163		6919917.65
164		6919856.35
165		6919918.22
166		6919869.75
167		6919896.15
168		6919958.60
169		6919928.02
170		6919889.20
171		6919968.61
172		6919994.62
173		6919884.63
174		6919923.48
175		6919980.00
176		6919964.51
177		6919936.91
178		6919947.27
179		6919880.70
180		6919902.75
181		6919919.12
182		6919944.84
183		6919942.68
184		6919975.71
185		6919938.91
186		6919966.93
187		6919972.18
188		6919952.06
189		6919901.16
190		6919982.32
191		6919990.83
192		6919929.83
193		6919950.56
194		6919900.45
195		6919939.33
196		6919971.73
197		6919973.47
198		6919900.51
199		6919956.86
200		6919951.28
201		6919889.63
202		6919884.58
203		6919895.26
204		6919974.58
205		6919927.85
206		6919983.77
207		6919862.70
208		6919936.35
209		6919972.83
210		6919929.11
211		6919967.01
212		6919880.89
213		6919883.25
214		6919874.51
215		6919864.61
216		6919952.20
217		6919888.34
218		6919870.18
219		6919864.44
220		6919976.30
221		6919932.14
222		6919916.56
223		6919891.77
224		6919920.07
225		6919925.92
226		6919927.85
227		6919903.54
228		6919888.13
229		6919866.12
230		6919969.80
231		6919917.24
232		6919861.62
233		6919869.96
234		6919947.21
235		6919930.66
236		6919869.70
237		6919862.89
238		6919909.72
239		6919956.80
240		6919933.91
241		6919903.58
242		6919983.82
243		6919974.89
244		6919965.21
245		6919893.73
246		6919916.64
247		6919901.84
248		6919908.41
249		6919915.55
250		6919957.88
251		6919966.42
252		6919978.35
253		6919940.53
254		6919942.44
255		6919943.96
256		6919890.89
257		6919885.78
258		6919954.31
259		6919963.73
260		6919886.62
261		6919900.78
262		6919975.70
263		6919937.48
264		6919990.63
265		6919866.95
266		6919874.14
267		6919863.28
268		6919957.50
269		6919983.66
270		6919881.05
271		6919887.44
272		6919957.95
273		6919915.35
274		6919985.26
275		6919905.88
276		6919959.94
277		6919853.63
278		6919976.49
279		6919942.95
280		6919902.95
281		6919918.84
282		6919966.26
283		6919904.14
284		6919856.89
285		6919941.51
286		6919956.92
287		6919926.33
288		6919982.32
289		6919982.51
290		6919910.61
291		6919922.76
292		6919870.69
293		6919977.32
294		6919933.37
295		6919931.08
296		6919961.63
297		6919915.53
298		6919960.90
299		6919964.54
300		6919880.56
301		6919909.20
302		6919916.59
303		6919961.59
304		6919972.47
305		6919906.12
306		6919862.58
307		6919930.55
308		6919909.93
309		6919946.85
310		6919956.61
311		6919926.06
312		6919948.93
313		6919932.87
314		6919948.31
315		6919963.39
316		6919924.96
317		6919981.95
318		6919875.21
319		6919878.61
320		6919983.92
321		6919883.23
322		6919941.99
323		6919930.78
324		6919874.55
325		6919865.28
326		6919901.76
327		6919936.13
328		6919933.50
329		6919936.65
330		6919960.78
331		6919916.01
332		6919923.74
333		6919959.21
334		6919933.21
335		6919948.68
336		6919948.21
337		6919891.23
338		6919900.06
339		6919947.65
340		6919960.10
341		6919933.62
342		6919892.63
343		6919977.88
344		6919951.74
345		6919861.53
346		6919951.53
347		6919946.91
348		6919927.20
349		6919940.03
350		6919977.81
351		6919945.88
352		6919921.46
353		6919871.72
354		6919961.56
355		6919886.18
356		6919947.77
357		6919853.79
358		6919912.40
359		6919954.51
360		6919948.06
361		6919946.28
362		6919909.69
363		6919976.69
364		6919869.72
365		6919887.86
366		6919963.23
367		6919892.08
368		6919952.44
369		6919913.73
370		6919860.38
371		6919874.50
372		6919886.67
373		6919985.60
374		6919941.89
375		6919898.06
376		6919959.47
377		6919860.34
378		6919978.47
379		6919873.35
380		6919918.29
381		6919870.59
382		6919895.57
383		6919916.68
384		6919950.67
385		6919963.39
386		6919976.97
387		6919942.38
388		6919966.04
389		6919980.23
390		6919976.59
391		6919917.76
392		6919910.07
393		6919983.09
394		6919866.14
395		6919931.34
396		6919882.13
397		6919862.64
398		6919903.29
399		6919924.02
400		6919865.00
401		6919856.10
402		6919909.35
403		6919982.30
404		6919955.56
405		6919984.11
406		6919875.10
407		6919951.48
408		6919855.79
409		6919975.54
410		6919949.43
411		6919900.43
412		6919934.07
413		6919928.96
414		6919947.65
415		6919935.02
416		6919859.75
417		6919947.50
418		6919917.04
419		6919881.95
420		6919975.58
421		6919892.04
422		6919872.75
423		6919988.64
424		6919974.32
425		6919947.60
426		6919962.05
427		6919935.81
428		6919875.88
429		6919913.55
430		6919918.79
431		6919960.70
432		6919862.12
433		6919920.58
434		6919962.27
435		6919929.14
436		6919878.73
437		6919962.59
438		6919983.72
439		6919923.63
440		6919946.74
441		6919982.24
442		6919890.37
443		6919923.69
444		6919979.45
445		6919893.49
446		6919895.22
447		6919922.11
448		6919942.37
449		6919875.17
450		6919931.92
451		6919868.12
452		6919878.15
453		6919877.05
454		6919912.14
455		6919919.55
456		6919944.07
457		6919885.02
458		6919981.17
459		6919890.09
460		6919960.59
461		6919964.58
462		6919902.16
463		6919937.61
464		6919983.55
465		6919979.69
466		6919923.31
467		6919875.46
468		6919884.80
469		6919976.25
470		6919910.10
471		6919991.85
472		6919870.98
473		6919890.14
474		6919963.35
475		6919859.44
476		6919986.46
477		6919932.32
478		6919897.57
479		6919897.98
480		6919943.20
481		6919855.77
482		6919931.74
483		6919943.77
484		6919973.27
485		6919961.52
486		6919984.04
487		6919880.73
488		6919929.37
489		6919946.19
490		6919954.30
491		6919979.84
492		6919974.00
493		6919878.73
494		6919890.02
495		6919969.58
496		6919866.77
497		6919951.45
498		6919928.76
499		6919978.92
500		6919908.51
501		6919920.51
502		6919967.71
503		6919907.78
504		6919921.82
