Endeks	onceki	tepedeger	sonraki
11		5.50807	5.51079		3.5599
22		4.09985	4.38204		3.67928
33		1.28341	1.44621		1.28883
44		0.691901	0.700041	0.626781
54	0.501967	0.504681	0.477547
64	0.461267	0.46398	0.450414
74	0.43142	0.436847	0.434134
96	0.412427	0.41514	0.412427
119	0.404287	0.407	0.404287
126	0.407	0.409714	0.407
137	0.404287	0.407	0.404287
171	0.401574	0.404287	0.401574
174	0.401574	0.404287	0.401574
179	0.401574	0.404287	0.401574
182	0.401574	0.404287	0.401574
188	0.401574	0.404287	0.401574
233	0.39886	0.401574	0.39886
243	0.39886	0.401574	0.39886
249	0.401574	0.404287	0.401574
260	0.401574	0.404287	0.401574
267	0.407	0.409714	0.407
272	0.412427	0.41514	0.412427
291	0.425994	0.428707	0.425994
314	0.444987	0.4477	0.444987
320	0.450414	0.453127	0.450414
333	0.458554	0.461267	0.458554
338	0.461267	0.466694	0.46398
344	0.466694	0.469407	0.466694
384	0.491114	0.49654	0.493827
386	0.493827	0.49654	0.493827
405	0.504681	0.507394	0.504681
410	0.504681	0.507394	0.504681
419	0.512821	0.515534	0.512821
443	0.526387	0.529101	0.526387
458	0.534527	0.537241	0.534527
465	0.537241	0.539954	0.537241
500	0.553521	0.558947	0.556234
509	0.558947	0.561661	0.558947
519	0.564374	0.567087	0.564374
548	0.575227	0.577941	0.575227
552	0.575227	0.580654	0.577941
599	0.594221	0.596934	0.594221
620	0.602361	0.605074	0.602361
632	0.607787	0.610501	0.607787
638	0.607787	0.610501	0.607787
663	0.615927	0.618641	0.615927
675	0.621354	0.624067	0.621354
680	0.621354	0.624067	0.621354
698	0.626781	0.632207	0.629494
710	0.632207	0.634921	0.632207
720	0.632207	0.634921	0.632207
735	0.637634	0.640347	0.637634
746	0.640347	0.643061	0.640347
783	0.648487	0.651201	0.648487
786	0.648487	0.651201	0.648487
807	0.653914	0.656627	0.653914
810	0.653914	0.656627	0.653914
821	0.656627	0.659341	0.656627
857	0.662054	0.664767	0.662054
860	0.664767	0.670194	0.667481
866	0.667481	0.670194	0.667481
880	0.670194	0.672907	0.670194
897	0.672907	0.675621	0.672907
908	0.675621	0.678334	0.675621
912	0.675621	0.678334	0.675621
939	0.681047	0.683761	0.681047
975	0.686474	0.689187	0.686474
996	0.689187	0.691901	0.689187
998	0.689187	0.691901	0.689187
1007	0.689187	0.691901	0.689187
1022	0.691901	0.694614	0.691901
1036	0.694614	0.697327	0.694614
1038	0.694614	0.697327	0.694614
1065	0.697327	0.700041	0.697327
1087	0.700041	0.705467	0.702754
1096	0.700041	0.702754	0.700041
1100	0.702754	0.705467	0.702754
1136	0.705467	0.708181	0.705467
1149	0.708181	0.710894	0.708181
1181	0.710894	0.713607	0.710894
1185	0.710894	0.713607	0.710894
1188	0.710894	0.713607	0.710894
1192	0.713607	0.716321	0.713607
1196	0.713607	0.716321	0.713607
1209	0.713607	0.716321	0.713607
1220	0.716321	0.719034	0.716321
1251	0.716321	0.719034	0.716321
1260	0.716321	0.719034	0.716321
1263	0.719034	0.721747	0.719034
1265	0.719034	0.721747	0.719034
1280	0.716321	0.721747	0.719034
1305	0.721747	0.724461	0.719034
1322	0.721747	0.724461	0.721747
1340	0.721747	0.724461	0.721747
1343	0.724461	0.727174	0.724461
1365	0.724461	0.727174	0.724461
1367	0.724461	0.727174	0.724461
1373	0.724461	0.727174	0.724461
1380	0.724461	0.727174	0.724461
1394	0.727174	0.729887	0.727174
1445	0.727174	0.729887	0.727174
1478	0.729887	0.732601	0.729887
1481	0.729887	0.732601	0.729887
1487	0.729887	0.732601	0.729887
1496	0.729887	0.732601	0.729887
1529	0.732601	0.735314	0.732601
1555	0.732601	0.735314	0.732601
1592	0.732601	0.735314	0.732601
1594	0.732601	0.735314	0.732601
1596	0.732601	0.735314	0.732601
1598	0.732601	0.735314	0.732601
1608	0.732601	0.735314	0.732601
1610	0.732601	0.735314	0.732601
1616	0.732601	0.738027	0.735314
1635	0.732601	0.738027	0.735314
1664	0.735314	0.738027	0.735314
1694	0.735314	0.738027	0.735314
1731	0.735314	0.738027	0.735314
1745	0.735314	0.738027	0.735314
1748	0.735314	0.738027	0.735314
1770	0.735314	0.738027	0.735314
1793	0.735314	0.738027	0.735314
1811	0.735314	0.738027	0.735314
1814	0.735314	0.738027	0.732601
1869	0.735314	0.738027	0.732601
1875	0.735314	0.738027	0.735314
1883	0.732601	0.735314	0.732601
1887	0.735314	0.738027	0.735314
